timestamp,district_id,consumption_kwh,peak_demand_kw,renewable_pct
2020-05-03 00:00:00,D01,222.67,289.47,11.2
2020-05-03 00:00:00,D02,176.73,229.75,15.7
2020-05-03 00:00:00,D03,192.63,250.42,22.9
2020-05-03 00:00:00,D04,164.32,213.62,15.3
2020-05-03 00:00:00,D05,214.09,278.32,18.1
2020-05-03 00:00:00,D06,194.76,253.19,18.9
2020-05-03 00:00:00,D07,227.53,295.79,12.0
2020-05-03 00:00:00,D08,201.18,261.53,22.0
2020-05-03 00:00:00,D09,189.98,246.97,11.4
2020-05-03 00:00:00,D10,211.36,274.77,19.2
2020-05-03 01:00:00,D01,227.31,295.5,21.4
2020-05-03 01:00:00,D02,179.32,233.12,20.0
2020-05-03 01:00:00,D03,196.1,254.93,16.1
2020-05-03 01:00:00,D04,169.53,220.39,24.3
2020-05-03 01:00:00,D05,216.37,281.28,18.0
2020-05-03 01:00:00,D06,172.83,224.68,13.4
2020-05-03 01:00:00,D07,208.16,270.6,19.1
2020-05-03 01:00:00,D08,179.01,232.71,21.7
2020-05-03 01:00:00,D09,201.11,261.44,24.5
2020-05-03 01:00:00,D10,194.63,253.03,18.9
2020-05-03 02:00:00,D01,214.18,278.43,15.0
2020-05-03 02:00:00,D02,172.35,224.05,21.7
2020-05-03 02:00:00,D03,188.08,244.51,24.5
2020-05-03 02:00:00,D04,170.62,221.8,21.3
2020-05-03 02:00:00,D05,248.57,323.14,15.8
2020-05-03 02:00:00,D06,188.6,245.18,15.8
2020-05-03 02:00:00,D07,224.49,291.84,12.7
2020-05-03 02:00:00,D08,190.22,247.29,18.3
2020-05-03 02:00:00,D09,182.18,236.83,16.4
2020-05-03 02:00:00,D10,207.6,269.88,22.8
2020-05-03 03:00:00,D01,218.37,283.89,15.4
2020-05-03 03:00:00,D02,161.53,209.99,16.1
2020-05-03 03:00:00,D03,208.57,271.14,21.2
2020-05-03 03:00:00,D04,148.48,193.03,13.3
2020-05-03 03:00:00,D05,230.58,299.75,15.4
2020-05-03 03:00:00,D06,175.68,228.38,21.9
2020-05-03 03:00:00,D07,200.6,260.78,17.5
2020-05-03 03:00:00,D08,203.38,264.4,13.5
2020-05-03 03:00:00,D09,197.28,256.46,18.2
2020-05-03 03:00:00,D10,205.7,267.41,22.1
2020-05-03 04:00:00,D01,206.21,268.08,23.2
2020-05-03 04:00:00,D02,172.19,223.85,19.1
2020-05-03 04:00:00,D03,223.51,290.56,22.3
2020-05-03 04:00:00,D04,163.92,213.1,21.3
2020-05-03 04:00:00,D05,233.12,303.05,18.2
2020-05-03 04:00:00,D06,163.84,212.99,11.3
2020-05-03 04:00:00,D07,221.61,288.1,10.9
2020-05-03 04:00:00,D08,185.34,240.94,21.9
2020-05-03 04:00:00,D09,170.16,221.2,14.2
2020-05-03 04:00:00,D10,211.41,274.83,18.9
2020-05-03 05:00:00,D01,229.41,298.24,17.6
2020-05-03 05:00:00,D02,170.43,221.56,20.9
2020-05-03 05:00:00,D03,207.86,270.21,19.1
2020-05-03 05:00:00,D04,173.44,225.48,16.0
2020-05-03 05:00:00,D05,230.84,300.09,10.1
2020-05-03 05:00:00,D06,183.64,238.73,10.4
2020-05-03 05:00:00,D07,208.09,270.51,22.1
2020-05-03 05:00:00,D08,200.45,260.58,14.0
2020-05-03 05:00:00,D09,199.83,259.78,14.0
2020-05-03 05:00:00,D10,217.6,282.89,19.2
2020-05-03 06:00:00,D01,446.64,580.63,23.6
2020-05-03 06:00:00,D02,351.84,457.39,24.8
2020-05-03 06:00:00,D03,412.34,536.04,14.0
2020-05-03 06:00:00,D04,332.24,431.91,10.2
2020-05-03 06:00:00,D05,543.94,707.13,20.4
2020-05-03 06:00:00,D06,418.14,543.58,13.9
2020-05-03 06:00:00,D07,452.32,588.02,19.9
2020-05-03 06:00:00,D08,431.36,560.77,20.5
2020-05-03 06:00:00,D09,426.97,555.06,11.7
2020-05-03 06:00:00,D10,483.12,628.06,20.8
2020-05-03 07:00:00,D01,493.11,641.04,12.3
2020-05-03 07:00:00,D02,356.88,463.95,15.9
2020-05-03 07:00:00,D03,437.28,568.46,13.4
2020-05-03 07:00:00,D04,375.04,487.55,19.6
2020-05-03 07:00:00,D05,526.59,684.57,13.4
2020-05-03 07:00:00,D06,428.07,556.49,12.9
2020-05-03 07:00:00,D07,484.4,629.71,24.5
2020-05-03 07:00:00,D08,456.45,593.39,24.9
2020-05-03 07:00:00,D09,428.39,556.91,13.3
2020-05-03 07:00:00,D10,430.32,559.41,14.9
2020-05-03 08:00:00,D01,431.07,560.39,20.2
