timestamp,district_id,route_id,passenger_count,capacity,delay_min
2020-05-03 00:00:00,D01,R04,4,80,10.3
2020-05-03 00:00:00,D02,R01,7,80,6.4
2020-05-03 00:00:00,D03,R01,4,80,7.8
2020-05-03 00:00:00,D04,R02,2,80,5.1
2020-05-03 00:00:00,D05,R05,2,80,4.1
2020-05-03 00:00:00,D06,R04,4,80,5.5
2020-05-03 00:00:00,D07,R05,8,80,6.4
2020-05-03 00:00:00,D08,R05,7,80,5.1
2020-05-03 00:00:00,D09,R05,2,80,2.4
2020-05-03 00:00:00,D10,R04,5,80,4.7
2020-05-03 01:00:00,D01,R01,4,80,9.1
2020-05-03 01:00:00,D02,R04,9,80,3.2
2020-05-03 01:00:00,D03,R05,10,80,5.2
2020-05-03 01:00:00,D04,R03,4,80,1.7
2020-05-03 01:00:00,D05,R04,6,80,2.8
2020-05-03 01:00:00,D06,R04,10,80,3.7
2020-05-03 01:00:00,D07,R04,3,80,6.3
2020-05-03 01:00:00,D08,R04,8,80,3.3
2020-05-03 01:00:00,D09,R04,2,80,4.3
2020-05-03 01:00:00,D10,R01,2,80,8.7
2020-05-03 02:00:00,D01,R02,9,80,5.2
2020-05-03 02:00:00,D02,R02,9,80,4.0
2020-05-03 02:00:00,D03,R04,3,80,4.8
2020-05-03 02:00:00,D04,R02,6,80,4.6
2020-05-03 02:00:00,D05,R05,7,80,6.3
2020-05-03 02:00:00,D06,R01,4,80,2.0
2020-05-03 02:00:00,D07,R03,9,80,7.2
2020-05-03 02:00:00,D08,R04,6,80,4.1
2020-05-03 02:00:00,D09,R01,5,80,7.1
2020-05-03 02:00:00,D10,R01,2,80,9.4
2020-05-03 03:00:00,D01,R01,7,80,9.0
2020-05-03 03:00:00,D02,R01,3,80,2.4
2020-05-03 03:00:00,D03,R04,3,80,8.5
2020-05-03 03:00:00,D04,R04,9,80,3.1
2020-05-03 03:00:00,D05,R02,4,80,11.1
2020-05-03 03:00:00,D06,R05,9,80,5.4
2020-05-03 03:00:00,D07,R03,5,80,2.5
2020-05-03 03:00:00,D08,R03,10,80,4.1
2020-05-03 03:00:00,D09,R02,4,80,3.6
2020-05-03 03:00:00,D10,R03,6,80,10.8
2020-05-03 04:00:00,D01,R02,9,80,9.8
2020-05-03 04:00:00,D02,R03,3,80,6.6
2020-05-03 04:00:00,D03,R03,8,80,5.3
2020-05-03 04:00:00,D04,R04,9,80,4.5
2020-05-03 04:00:00,D05,R04,8,80,5.0
2020-05-03 04:00:00,D06,R04,2,80,5.1
2020-05-03 04:00:00,D07,R02,10,80,4.0
2020-05-03 04:00:00,D08,R01,8,80,2.7
2020-05-03 04:00:00,D09,R04,7,80,6.3
2020-05-03 04:00:00,D10,R04,8,80,10.2
2020-05-03 05:00:00,D01,R03,9,80,9.0
2020-05-03 05:00:00,D02,R02,5,80,5.7
2020-05-03 05:00:00,D03,R04,4,80,6.9
2020-05-03 05:00:00,D04,R01,10,80,6.7
2020-05-03 05:00:00,D05,R01,7,80,3.9
2020-05-03 05:00:00,D06,R03,10,80,4.8
2020-05-03 05:00:00,D07,R03,10,80,2.6
2020-05-03 05:00:00,D08,R04,7,80,3.4
2020-05-03 05:00:00,D09,R01,4,80,6.6
2020-05-03 05:00:00,D10,R05,6,80,4.1
2020-05-03 06:00:00,D01,R01,24,80,34.8
2020-05-03 06:00:00,D02,R02,22,80,21.1
2020-05-03 06:00:00,D03,R03,32,80,27.8
2020-05-03 06:00:00,D04,R05,21,80,24.1
2020-05-03 06:00:00,D05,R01,28,80,32.7
2020-05-03 06:00:00,D06,R03,19,80,29.5
2020-05-03 06:00:00,D07,R01,27,80,40.0
2020-05-03 06:00:00,D08,R03,19,80,19.4
2020-05-03 06:00:00,D09,R02,22,80,31.6
2020-05-03 06:00:00,D10,R05,21,80,18.0
2020-05-03 07:00:00,D01,R05,21,80,39.1
2020-05-03 07:00:00,D02,R05,21,80,37.2
2020-05-03 07:00:00,D03,R01,27,80,33.6
2020-05-03 07:00:00,D04,R04,30,80,18.8
2020-05-03 07:00:00,D05,R05,18,80,29.0
2020-05-03 07:00:00,D06,R01,23,80,23.4
2020-05-03 07:00:00,D07,R01,21,80,12.5
2020-05-03 07:00:00,D08,R01,18,80,19.1
2020-05-03 07:00:00,D09,R01,24,80,13.2
2020-05-03 07:00:00,D10,R05,31,80,60.8
2020-05-03 08:00:00,D01,R05,73,80,47.1
2020-05-03 08:00:00,D02,R05,52,80,42.4
2020-05-03 08:00:00,D03,R02,56,80,80.5
2020-05-03 08:00:00,D04,R02,50,80,42.6
2020-05-03 08:00:00,D05,R05,59,80,42.0
2020-05-03 08:00:00,D06,R01,65,80,27.7
2020-05-03 08:00:00,D07,R01,52,80,69.5
2020-05-03 08:00:00,D08,R01,52,80,30.6
2020-05-03 08:00:00,D09,R05,58,80,20.8
2020-05-03 08:00:00,D10,R02,63,80,62.2
2020-05-03 09:00:00,D01,R01,55,80,68.5
2020-05-03 09:00:00,D02,R02,65,80,19.1
2020-05-03 09:00:00,D03,R04,52,80,48.8
2020-05-03 09:00:00,D04,R04,51,80,34.0
2020-05-03 09:00:00,D05,R04,56,80,27.4
2020-05-03 09:00:00,D06,R03,62,80,68.6
2020-05-03 09:00:00,D07,R01,69,80,44.9
2020-05-03 09:00:00,D08,R01,73,80,48.7
2020-05-03 09:00:00,D09,R05,68,80,52.3
2020-05-03 09:00:00,D10,R02,76,80,61.0
2020-05-03 10:00:00,D01,R04,67,80,48.6
2020-05-03 10:00:00,D02,R02,74,80,66.4
2020-05-03 10:00:00,D03,R04,74,80,30.0
2020-05-03 10:00:00,D04,R02,53,80,34.1
2020-05-03 10:00:00,D05,R01,77,80,25.0
2020-05-03 10:00:00,D06,R05,63,80,18.0
2020-05-03 10:00:00,D07,R04,68,80,73.5
2020-05-03 10:00:00,D08,R04,64,80,39.2
2020-05-03 10:00:00,D09,R01,52,80,61.7
2020-05-03 10:00:00,D10,R01,64,80,116.7
2020-05-03 11:00:00,D01,R02,26,80,50.2
2020-05-03 11:00:00,D02,R01,23,80,12.2
2020-05-03 11:00:00,D03,R04,26,80,18.4
2020-05-03 11:00:00,D04,R05,29,80,20.0
2020-05-03 11:00:00,D05,R03,16,80,42.9
2020-05-03 11:00:00,D06,R04,23,80,32.6
2020-05-03 11:00:00,D07,R03,32,80,16.5
2020-05-03 11:00:00,D08,R02,30,80,31.7
2020-05-03 11:00:00,D09,R01,30,80,42.8
2020-05-03 11:00:00,D10,R01,20,80,28.1
2020-05-03 12:00:00,D01,R02,32,80,63.6
2020-05-03 12:00:00,D02,R04,30,80,26.3
2020-05-03 12:00:00,D03,R03,28,80,15.5
2020-05-03 12:00:00,D04,R03,38,80,28.2
2020-05-03 12:00:00,D05,R04,37,80,62.6
2020-05-03 12:00:00,D06,R04,37,80,39.5
2020-05-03 12:00:00,D07,R04,38,80,40.8
2020-05-03 12:00:00,D08,R05,35,80,41.0
2020-05-03 12:00:00,D09,R04,37,80,35.1
2020-05-03 12:00:00,D10,R01,31,80,33.3
2020-05-03 13:00:00,D01,R04,35,80,32.1
2020-05-03 13:00:00,D02,R03,30,80,24.3
2020-05-03 13:00:00,D03,R03,28,80,19.7
2020-05-03 13:00:00,D04,R02,28,80,15.0
2020-05-03 13:00:00,D05,R04,34,80,22.6
2020-05-03 13:00:00,D06,R02,34,80,34.2
2020-05-03 13:00:00,D07,R01,35,80,33.5
2020-05-03 13:00:00,D08,R04,28,80,30.4
2020-05-03 13:00:00,D09,R03,35,80,21.6
2020-05-03 13:00:00,D10,R03,32,80,68.5
2020-05-03 14:00:00,D01,R05,28,80,34.7
2020-05-03 14:00:00,D02,R02,37,80,31.1
2020-05-03 14:00:00,D03,R04,35,80,16.5
2020-05-03 14:00:00,D04,R05,30,80,35.4
2020-05-03 14:00:00,D05,R03,28,80,28.6
2020-05-03 14:00:00,D06,R03,32,80,44.8
2020-05-03 14:00:00,D07,R04,35,80,29.4
2020-05-03 14:00:00,D08,R02,36,80,32.4
2020-05-03 14:00:00,D09,R04,35,80,30.7
2020-05-03 14:00:00,D10,R03,38,80,71.2
2020-05-03 15:00:00,D01,R01,28,80,42.5
2020-05-03 15:00:00,D02,R02,28,80,23.1
2020-05-03 15:00:00,D03,R03,16,80,13.1
2020-05-03 15:00:00,D04,R04,20,80,9.4
2020-05-03 15:00:00,D05,R03,25,80,36.5
2020-05-03 15:00:00,D06,R04,19,80,24.5
2020-05-03 15:00:00,D07,R01,17,80,27.1
2020-05-03 15:00:00,D08,R04,25,80,23.5
2020-05-03 15:00:00,D09,R03,27,80,16.3
2020-05-03 15:00:00,D10,R03,21,80,16.2
2020-05-03 16:00:00,D01,R01,21,80,40.4
2020-05-03 16:00:00,D02,R03,31,80,13.2
2020-05-03 16:00:00,D03,R03,23,80,27.8
2020-05-03 16:00:00,D04,R04,28,80,15.6
2020-05-03 16:00:00,D05,R02,32,80,31.4
2020-05-03 16:00:00,D06,R02,28,80,31.9
2020-05-03 16:00:00,D07,R05,28,80,36.4
2020-05-03 16:00:00,D08,R01,19,80,19.5
2020-05-03 16:00:00,D09,R04,19,80,16.9
2020-05-03 16:00:00,D10,R04,18,80,36.5
2020-05-03 17:00:00,D01,R04,58,80,44.5
2020-05-03 17:00:00,D02,R01,49,80,26.4
2020-05-03 17:00:00,D03,R03,71,80,48.1
2020-05-03 17:00:00,D04,R04,55,80,21.2
2020-05-03 17:00:00,D05,R04,58,80,54.2
2020-05-03 17:00:00,D06,R04,72,80,63.3
2020-05-03 17:00:00,D07,R02,60,80,48.7
2020-05-03 17:00:00,D08,R03,70,80,22.5
2020-05-03 17:00:00,D09,R01,59,80,56.0
2020-05-03 17:00:00,D10,R04,53,80,43.9
2020-05-03 18:00:00,D01,R02,53,80,49.1
2020-05-03 18:00:00,D02,R05,59,80,28.2
2020-05-03 18:00:00,D03,R04,50,80,62.7
2020-05-03 18:00:00,D04,R03,66,80,41.2
2020-05-03 18:00:00,D05,R03,66,80,78.6
2020-05-03 18:00:00,D06,R03,58,80,63.5
2020-05-03 18:00:00,D07,R01,74,80,22.8
2020-05-03 18:00:00,D08,R04,59,80,51.2
2020-05-03 18:00:00,D09,R03,66,80,81.2
2020-05-03 18:00:00,D10,R01,56,80,35.3
2020-05-03 19:00:00,D01,R04,60,80,109.0
2020-05-03 19:00:00,D02,R01,65,80,37.2
2020-05-03 19:00:00,D03,R01,49,80,37.6
2020-05-03 19:00:00,D04,R02,66,80,20.2
2020-05-03 19:00:00,D05,R01,56,80,76.6
2020-05-03 19:00:00,D06,R01,58,80,41.9
2020-05-03 19:00:00,D07,R05,65,80,38.0
2020-05-03 19:00:00,D08,R03,63,80,37.3
2020-05-03 19:00:00,D09,R04,67,80,54.8
2020-05-03 19:00:00,D10,R02,65,80,43.9
2020-05-03 20:00:00,D01,R01,23,80,29.3
2020-05-03 20:00:00,D02,R02,25,80,22.6
2020-05-03 20:00:00,D03,R04,22,80,14.3
2020-05-03 20:00:00,D04,R04,16,80,26.2
2020-05-03 20:00:00,D05,R03,23,80,49.5
2020-05-03 20:00:00,D06,R05,23,80,17.0
2020-05-03 20:00:00,D07,R04,32,80,21.0
2020-05-03 20:00:00,D08,R05,32,80,10.9
2020-05-03 20:00:00,D09,R05,16,80,38.7
2020-05-03 20:00:00,D10,R01,17,80,18.9
2020-05-03 21:00:00,D01,R02,25,80,29.3
2020-05-03 21:00:00,D02,R05,23,80,26.5
2020-05-03 21:00:00,D03,R03,32,80,32.0
2020-05-03 21:00:00,D04,R02,28,80,8.0
2020-05-03 21:00:00,D05,R02,26,80,29.8
2020-05-03 21:00:00,D06,R03,22,80,28.0
2020-05-03 21:00:00,D07,R01,21,80,19.0
2020-05-03 21:00:00,D08,R03,27,80,30.5
2020-05-03 21:00:00,D09,R01,18,80,18.6
2020-05-03 21:00:00,D10,R01,32,80,38.0
2020-05-03 22:00:00,D01,R05,6,80,2.9
2020-05-03 22:00:00,D02,R04,3,80,6.5
2020-05-03 22:00:00,D03,R04,6,80,4.0
2020-05-03 22:00:00,D04,R03,9,80,6.6
2020-05-03 22:00:00,D05,R05,8,80,8.9
2020-05-03 22:00:00,D06,R02,8,80,2.8
2020-05-03 22:00:00,D07,R04,8,80,4.6
2020-05-03 22:00:00,D08,R03,3,80,2.6
2020-05-03 22:00:00,D09,R01,10,80,3.3
2020-05-03 22:00:00,D10,R05,9,80,9.3
2020-05-03 23:00:00,D01,R01,6,80,6.8
2020-05-03 23:00:00,D02,R01,7,80,4.1
2020-05-03 23:00:00,D03,R02,4,80,2.7
2020-05-03 23:00:00,D04,R03,7,80,2.1
2020-05-03 23:00:00,D05,R03,7,80,7.5
2020-05-03 23:00:00,D06,R02,7,80,2.2
2020-05-03 23:00:00,D07,R03,2,80,6.4
2020-05-03 23:00:00,D08,R01,10,80,6.3
2020-05-03 23:00:00,D09,R04,9,80,7.5
2020-05-03 23:00:00,D10,R01,8,80,12.0
2020-05-04 00:00:00,D01,R05,9,80,7.9
2020-05-04 00:00:00,D02,R02,11,80,10.2
2020-05-04 00:00:00,D03,R04,15,80,9.9
2020-05-04 00:00:00,D04,R05,7,80,8.2
2020-05-04 00:00:00,D05,R05,15,80,8.8
2020-05-04 00:00:00,D06,R02,8,80,4.1
2020-05-04 00:00:00,D07,R04,14,80,12.0
2020-05-04 00:00:00,D08,R04,7,80,4.3
2020-05-04 00:00:00,D09,R02,8,80,6.7
2020-05-04 00:00:00,D10,R04,10,80,10.1
2020-05-04 01:00:00,D01,R02,14,80,8.5
2020-05-04 01:00:00,D02,R04,4,80,9.8
2020-05-04 01:00:00,D03,R04,10,80,6.2
2020-05-04 01:00:00,D04,R05,10,80,11.4
2020-05-04 01:00:00,D05,R05,15,80,15.3
2020-05-04 01:00:00,D06,R01,5,80,6.3
2020-05-04 01:00:00,D07,R05,4,80,4.6
2020-05-04 01:00:00,D08,R03,8,80,9.7
2020-05-04 01:00:00,D09,R04,4,80,5.6
2020-05-04 01:00:00,D10,R03,6,80,16.2
2020-05-04 02:00:00,D01,R03,10,80,10.3
2020-05-04 02:00:00,D02,R02,11,80,8.9
2020-05-04 02:00:00,D03,R03,12,80,9.9
2020-05-04 02:00:00,D04,R04,15,80,7.5
2020-05-04 02:00:00,D05,R03,4,80,14.9
2020-05-04 02:00:00,D06,R03,6,80,6.7
2020-05-04 02:00:00,D07,R04,14,80,11.5
2020-05-04 02:00:00,D08,R03,11,80,9.9
2020-05-04 02:00:00,D09,R04,11,80,13.4
2020-05-04 02:00:00,D10,R01,9,80,15.6
2020-05-04 03:00:00,D01,R01,10,80,7.2
2020-05-04 03:00:00,D02,R04,11,80,12.3
2020-05-04 03:00:00,D03,R03,9,80,12.6
2020-05-04 03:00:00,D04,R04,7,80,9.6
2020-05-04 03:00:00,D05,R03,6,80,18.6
2020-05-04 03:00:00,D06,R05,15,80,5.3
2020-05-04 03:00:00,D07,R02,12,80,10.2
2020-05-04 03:00:00,D08,R04,6,80,3.6
2020-05-04 03:00:00,D09,R05,7,80,13.7
2020-05-04 03:00:00,D10,R02,6,80,7.8
2020-05-04 04:00:00,D01,R01,15,80,14.2
2020-05-04 04:00:00,D02,R02,10,80,11.2
2020-05-04 04:00:00,D03,R05,10,80,7.8
2020-05-04 04:00:00,D04,R05,15,80,3.6
2020-05-04 04:00:00,D05,R01,10,80,17.0
2020-05-04 04:00:00,D06,R04,8,80,12.1
2020-05-04 04:00:00,D07,R02,8,80,13.8
2020-05-04 04:00:00,D08,R05,12,80,8.4
2020-05-04 04:00:00,D09,R05,14,80,6.3
2020-05-04 04:00:00,D10,R04,10,80,17.0
2020-05-04 05:00:00,D01,R03,15,80,9.3
2020-05-04 05:00:00,D02,R02,6,80,5.4
2020-05-04 05:00:00,D03,R04,8,80,12.8
2020-05-04 05:00:00,D04,R02,13,80,4.4
2020-05-04 05:00:00,D05,R03,6,80,8.7
2020-05-04 05:00:00,D06,R03,4,80,11.1
2020-05-04 05:00:00,D07,R03,10,80,5.5
2020-05-04 05:00:00,D08,R02,14,80,6.3
2020-05-04 05:00:00,D09,R03,15,80,5.4
2020-05-04 05:00:00,D10,R05,4,80,7.6
2020-05-04 06:00:00,D01,R02,35,80,83.2
2020-05-04 06:00:00,D02,R04,27,80,25.5
2020-05-04 06:00:00,D03,R04,41,80,38.9
2020-05-04 06:00:00,D04,R01,41,80,24.4
2020-05-04 06:00:00,D05,R04,45,80,46.1
2020-05-04 06:00:00,D06,R03,33,80,50.0
2020-05-04 06:00:00,D07,R01,37,80,70.9
2020-05-04 06:00:00,D08,R01,42,80,47.0
2020-05-04 06:00:00,D09,R03,46,80,27.7
2020-05-04 06:00:00,D10,R05,45,80,59.2
2020-05-04 07:00:00,D01,R03,28,80,85.4
2020-05-04 07:00:00,D02,R02,44,80,27.0
2020-05-04 07:00:00,D03,R02,37,80,49.6
2020-05-04 07:00:00,D04,R01,25,80,52.0
2020-05-04 07:00:00,D05,R05,38,80,38.3
2020-05-04 07:00:00,D06,R04,36,80,25.5
2020-05-04 07:00:00,D07,R01,24,80,45.9
