timestamp,district_id,lat,lng,pm25,pm10,aqi,weather_temp,weather_humidity,vehicle_count,avg_speed_kmh,incident_flag,consumption_kwh,peak_demand_kw,renewable_pct,route_id,passenger_count,capacity,delay_min,water_liters,waste_kg
2020-05-03 00:00:00,D01,18.5308,73.8474,23.82,62.1,121.0,33.33671415301124,55.48963759354556,152,57.2,0,222.67,289.47,11.2,R04,4,80,10.3,7610.4,188.5
2020-05-03 01:00:00,D01,18.5308,73.8474,23.81625,62.424166666666665,121.375,33.3252567174203,55.57121743148009,137,60.6,0,227.31,295.5,21.4,R01,4,80,9.1,6864.9,163.2
2020-05-03 02:00:00,D01,18.5308,73.8474,23.8125,62.748333333333335,121.75,33.31379928182937,55.65279726941463,144,54.6,0,214.18,278.43,15.0,R02,9,80,5.2,8921.4,191.8
2020-05-03 03:00:00,D01,18.5308,73.8474,23.80875,63.0725,122.125,33.302341846238434,55.73437710734916,159,55.9,0,218.37,283.89,15.4,R01,7,80,9.0,8904.3,182.6
2020-05-03 04:00:00,D01,18.5308,73.8474,23.805,63.39666666666667,122.5,33.2908844106475,55.815956945283695,153,57.2,0,206.21,268.08,23.2,R02,9,80,9.8,8341.1,229.6
2020-05-03 05:00:00,D01,18.5308,73.8474,23.80125,63.72083333333333,122.875,33.279426975056566,55.89753678321823,146,51.4,0,229.41,298.24,17.6,R03,9,80,9.0,9074.9,205.7
2020-05-03 06:00:00,D01,18.5308,73.8474,23.7975,64.045,123.25,33.26796953946563,55.97911662115276,752,41.2,0,446.64,580.63,23.6,R01,24,80,34.8,25680.9,389.0
2020-05-03 07:00:00,D01,18.5308,73.8474,23.79375,64.36916666666667,123.625,33.2565121038747,56.060696459087296,767,44.0,0,493.11,641.04,12.3,R05,21,80,39.1,28226.4,558.0
2020-05-03 08:00:00,D01,18.5308,73.8474,23.79,64.69333333333333,124.0,33.245054668283764,56.14227629702183,1369,23.7,0,431.07,560.39,20.2,R05,73,80,47.1,33429.3,375.6
2020-05-03 09:00:00,D01,18.5308,73.8474,23.78625,65.0175,124.375,33.23359723269283,56.22385613495637,1187,35.1,0,654.71,851.12,21.8,R01,55,80,68.5,32706.8,669.0
2020-05-03 10:00:00,D01,18.5308,73.8474,23.7825,65.34166666666667,124.75,33.222139797101896,56.3054359728909,1127,35.2,0,567.55,737.82,13.5,R04,67,80,48.6,19705.3,507.5
2020-05-03 11:00:00,D01,18.5308,73.8474,23.77875,65.66583333333334,125.125,33.21068236151096,56.38701581082543,777,37.0,0,620.78,807.01,10.5,R02,26,80,50.2,18945.2,630.6
2020-05-03 12:00:00,D01,18.5308,73.8474,23.775,65.99,125.5,33.19922492592003,56.46859564875997,991,40.6,0,613.59,797.67,11.5,R02,32,80,63.6,17947.5,559.8
2020-05-03 13:00:00,D01,18.5308,73.8474,23.77125,66.31416666666667,125.875,33.187767490329094,56.550175486694506,792,48.8,0,605.58,787.26,15.8,R04,35,80,32.1,19210.6,604.7
2020-05-03 14:00:00,D01,18.5308,73.8474,23.7675,66.63833333333334,126.25,33.17631005473816,56.63175532462904,911,28.5,0,659.98,857.97,10.8,R05,28,80,34.7,19144.2,625.6
2020-05-03 15:00:00,D01,18.5308,73.8474,23.76375,66.96249999999999,126.625,33.164852619147226,56.71333516256357,646,44.0,0,556.92,724.0,18.2,R01,28,80,42.5,80598.5,526.0
2020-05-03 16:00:00,D01,18.5308,73.8474,23.76,67.28666666666666,127.0,33.15339518355629,56.79491500049811,820,44.7,0,604.75,786.17,23.6,R01,21,80,40.4,47465.6,508.4
2020-05-03 17:00:00,D01,18.5308,73.8474,23.75625,67.61083333333333,127.375,33.14193774796536,56.87649483843264,1171,32.6,0,595.65,774.34,21.0,R04,58,80,44.5,18982.0,466.7
2020-05-03 18:00:00,D01,18.5308,73.8474,23.7525,67.935,127.75,33.130480312374424,56.958074676367175,1335,25.5,0,574.34,746.64,11.6,R02,53,80,49.1,26657.0,340.1
2020-05-03 19:00:00,D01,18.5308,73.8474,23.74875,68.25916666666666,128.125,33.11902287678349,57.03965451430171,1475,23.1,0,534.56,694.92,12.4,R04,60,80,109.0,21334.6,506.9
2020-05-03 20:00:00,D01,18.5308,73.8474,23.745,68.58333333333333,128.5,33.10756544119256,57.12123435223624,614,45.3,0,594.14,772.38,15.5,R01,23,80,29.3,23766.1,413.4
2020-05-03 21:00:00,D01,18.5308,73.8474,23.74125,68.9075,128.875,33.09610800560162,57.20281419017078,619,45.2,0,560.84,729.09,19.6,R02,25,80,29.3,19508.2,485.9
2020-05-03 22:00:00,D01,18.5308,73.8474,23.7375,69.23166666666667,129.25,33.08465057001069,57.28439402810531,125,57.5,0,572.82,744.67,22.5,R05,6,80,2.9,26717.8,227.8
2020-05-03 23:00:00,D01,18.5308,73.8474,23.73375,69.55583333333333,129.625,33.07319313441975,57.365973866039845,125,60.4,0,226.6,294.58,11.7,R01,6,80,6.8,8698.4,276.4
2020-05-04 00:00:00,D01,18.5308,73.8474,23.73,69.88,130.0,33.06173569882882,57.44755370397438,256,55.3,0,276.49,359.44,15.4,R05,9,80,7.9,8873.6,209.4
2020-05-04 01:00:00,D01,18.5308,73.8474,24.13583333333333,72.58624999999999,130.54166666666666,33.116150400465145,57.38414866205778,259,49.4,0,274.39,356.71,18.0,R02,14,80,8.5,7217.6,254.3
2020-05-04 02:00:00,D01,18.5308,73.8474,24.541666666666668,75.29249999999999,131.08333333333334,33.17056510210148,57.32074362014119,218,54.0,0,239.38,311.19,17.2,R03,10,80,10.3,8129.6,216.6
2020-05-04 03:00:00,D01,18.5308,73.8474,24.9475,77.99875,131.625,33.2249798037378,57.25733857822459,214,52.2,0,259.54,337.41,16.2,R01,10,80,7.2,7712.2,212.0
2020-05-04 04:00:00,D01,18.5308,73.8474,25.35333333333333,80.705,132.16666666666666,33.27939450537413,57.193933536308,253,50.9,0,244.76,318.19,12.8,R01,15,80,14.2,7264.3,257.6
2020-05-04 05:00:00,D01,18.5308,73.8474,25.759166666666665,83.41125,132.70833333333334,33.33380920701046,57.13052849439139,261,57.8,0,250.21,325.27,20.9,R03,15,80,9.3,8372.8,153.6
2020-05-04 06:00:00,D01,18.5308,73.8474,26.165,86.1175,133.25,33.388223908646786,57.0671234524748,1206,30.8,0,513.58,667.65,14.0,R02,35,80,83.2,23183.4,363.5
2020-05-04 07:00:00,D01,18.5308,73.8474,26.570833333333333,88.82375,133.79166666666666,33.44263861028312,57.0037184105582,1194,29.8,0,507.45,659.69,17.1,R03,28,80,85.4,22696.3,449.9
2020-05-04 08:00:00,D01,18.5308,73.8474,26.976666666666667,91.53,134.33333333333334,33.497053311919444,56.9403133686416,2459,13.2,1,575.37,747.97,16.9,R04,103,80,161.5,25678.5,440.2
2020-05-04 09:00:00,D01,18.5308,73.8474,27.3825,94.23625,134.875,33.55146801355577,56.87690832672501,2369,14.5,1,780.88,1015.14,14.2,R05,104,80,97.8,27242.3,598.6
2020-05-04 10:00:00,D01,18.5308,73.8474,27.78833333333333,96.9425,135.41666666666666,33.6058827151921,56.81350328480841,2476,10.2,1,779.22,1012.99,19.4,R02,91,80,183.3,20620.6,639.3
2020-05-04 11:00:00,D01,18.5308,73.8474,28.194166666666668,99.64875,135.95833333333334,33.66029741682843,56.750098242891816,1104,37.6,0,731.75,951.28,23.8,R02,28,80,79.3,17337.0,563.4
2020-05-04 12:00:00,D01,18.5308,73.8474,28.6,102.355,136.5,33.71471211846476,56.68669320097521,1265,35.6,0,726.36,944.27,11.9,R01,41,80,29.4,18055.7,444.5
2020-05-04 13:00:00,D01,18.5308,73.8474,29.00583333333333,105.06125,137.04166666666666,33.769126820101086,56.62328815905862,1239,28.2,0,654.12,850.35,15.5,R02,46,80,39.0,19850.5,609.3
2020-05-04 14:00:00,D01,18.5308,73.8474,29.411666666666665,107.7675,137.58333333333334,33.82354152173741,56.55988311714202,1599,24.8,0,653.65,849.75,21.0,R05,46,80,120.8,18980.4,569.9
